Mã ytcp,Sản phẩm,Tên sản phẩm,Hệ số,
622BNN,KGE05001400,Bình nước nóng (18L) KG65,0.78,
622BNN,KGE05001600,Bình nước nóng treo tường kháng khuẩn Kangaroo.(32L-SX) KG60,0.78,
622BNN,KGE05001700,Bình nước nóng treo tường kháng khuẩn Kangaroo.(22L_SX) KG64,0.78,
622BNN,KGE05002900,Bình nước nóng treo tường kháng khuẩn Kangaroo.(32L_SX) KG660Y,0.78,
622BNN,KGE05003000,Bình nước nóng treo tường kháng khuẩn Kangaroo.(22L_SX) KG664Y,0.78,
622BNN,KGE05003200,Bình nước nóng treo tường kháng khuẩn Kangaroo.(18L_SX) KG665Y,0.78,
622BNN,KGE05003900,Bình nước nóng (32L) KG60 (xuất khẩu),0.78,
622BNN,KGE05004000,Bình nước nóng (22L) KG64 (xuất khẩu),0.78,
622BNN,KGE05004400,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG818,0.78,
622BNN,KGE05004500,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG818N,0.78,
622BNN,KGE05004600,Bình nước nóng treo tường kháng khuẩn Kangaroo (15L_SX) KG816,0.78,
622BNN,KGE05004800,Bình nước nóng treo tường kháng khuẩn Kangaroo (15L_SX) KG816N,0.78,
622BNN,KGE05005200,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L_SX) KG69A2,0.78,
622BNN,KGE05005300,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L_SX) KG69A2N,0.78,
622BNN,KGE05005400,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG69A3,0.78,
622BNN,KGE05005500,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG69A3N,0.78,
622BNN,KGE05005600,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L-SX) KG68A2,0.78,
622BNN,KGE05005800,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG518,0.78,
622BNN,KGE05005900,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG518N,0.78,
622BNN,KGE05006000,Bình nước nóng treo tường kháng khuẩn Kangaroo (15L_SX) KG516,0.78,
622BNN,KGE05006100,Bình nước nóng treo tường kháng khuẩn Kangaroo (15L_SX) KG516N,0.78,
622BNN,KGE05006200,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L_SX) KG68A2N,0.52,
622BNN,KGE05006300,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG68A3,0.78,
622BNN,KGE05006700,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L_SX) KG64P,0.78,
622BNN,KGE05007700,"Bình nước nóng treo tường kháng khuẩn Kangaroo, trực tiếp, ống thạch anh (Có bơm) KG588WP",0.62,
622BNN,KGE05007800,"Bình nước nóng treo tường kháng khuẩn Kangaroo, trực tiếp, ống thạch anh (Không bơm) KG588W",0.6,
622BNN,KGE05007900,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L_SX) KG70A2,0.7,
622BNN,KGE05008000,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG70A3,0.75,
622BNN,KGE05008100,Bình nước nóng treo tường kháng khuẩn Kangaroo (22L_SX) KG72A2,0.83,
622BNN,KGE05008200,Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG72A3,0.77,
622BNN,KGE05008600,Bình nước nóng treo tường Kangaroo (15L_SX) KG15EI,0.78,
622BNN,KGE05008700,Bình nước nóng treo tường kháng khuẩn Kangaroo (32L-SX) KG60XK,0.78,
